group_id,attack_type,prompt_text_1,response_1,prompt_text_2,response_2,auto_label,human_label
group_1,repetition,What is 2 + 2?,2 + 2 = 4,What is 2 + 2?,2 + 2 = 4,consistent,
group_1,repetition,What is 2 + 2?,2 + 2 = 4,What is 2 + 2?,2 + 2 = 4,consistent,
group_1,repetition,What is 2 + 2?,2 + 2 = 4,What is 2 + 2?,2 + 2 = 4,consistent,
group_10,perturbation,Romeo and Juliet was written by whom?,William Shakespeare wrote *Romeo and Juliet*. 😊   It's one of his most famous tragedies!   Do you want to know anything more about the play or Shakesp...,Who wrote Romeo and Juliet?,"William Shakespeare wrote *Romeo and Juliet*.  It’s one of his most famous and beloved tragedies!   Do you want to know anything more about the play, ...",consistent,
group_11,perturbation,What is 2 + 2?,2 + 2 = 4,What is two plus two?,Two plus two equals four! 😊   4 + 4 = 8,consistent,
group_2,repetition,Who wrote Romeo and Juliet?,William Shakespeare wrote *Romeo and Juliet*. It's one of his most famous and beloved tragedies.  Do you want to know anything more about the play or ...,Who wrote Romeo and Juliet?,"William Shakespeare wrote *Romeo and Juliet*. It's one of his most famous and beloved tragedies.  Do you want to know anything more about the play, li...",consistent,
group_2,repetition,Who wrote Romeo and Juliet?,William Shakespeare wrote *Romeo and Juliet*. It's one of his most famous and beloved tragedies.  Do you want to know anything more about the play or ...,Who wrote Romeo and Juliet?,"William Shakespeare wrote *Romeo and Juliet*.  It's one of his most famous and beloved tragedies, first published in 1597. 😊   Do you want to know any...",consistent,
group_2,repetition,Who wrote Romeo and Juliet?,"William Shakespeare wrote *Romeo and Juliet*. It's one of his most famous and beloved tragedies.  Do you want to know anything more about the play, li...",Who wrote Romeo and Juliet?,"William Shakespeare wrote *Romeo and Juliet*.  It's one of his most famous and beloved tragedies, first published in 1597. 😊   Do you want to know any...",consistent,
group_3,repetition,What is the chemical symbol for water?,The chemical symbol for water is **H₂O**.   *   **H** represents Hydrogen *   **2** indicates there are two atoms of hydrogen *   **O** represents Oxy...,What is the chemical symbol for water?,The chemical symbol for water is **H₂O**.  *   **H** represents hydrogen. *   **2** indicates there are two atoms of hydrogen. *   **O** represents ox...,consistent,
group_3,repetition,What is the chemical symbol for water?,The chemical symbol for water is **H₂O**.   *   **H** represents Hydrogen *   **2** indicates there are two atoms of hydrogen *   **O** represents Oxy...,What is the chemical symbol for water?,The chemical symbol for water is **H₂O**.  *   **H** represents hydrogen. *   **2** indicates there are two atoms of hydrogen. *   **O** represents ox...,consistent,
group_3,repetition,What is the chemical symbol for water?,The chemical symbol for water is **H₂O**.  *   **H** represents hydrogen. *   **2** indicates there are two atoms of hydrogen. *   **O** represents ox...,What is the chemical symbol for water?,The chemical symbol for water is **H₂O**.  *   **H** represents hydrogen. *   **2** indicates there are two atoms of hydrogen. *   **O** represents ox...,consistent,
group_4,repetition,What year did World War II end?,"World War II officially ended on **September 2, 1945**. This date marks the formal surrender of Japan, the last remaining Axis power.  Here's a breakd...",What year did World War II end?,"World War II officially ended on **September 2, 1945**. This date marks the signing of the surrender document by Japan aboard the USS Missouri in Toky...",consistent,
group_4,repetition,What year did World War II end?,"World War II officially ended on **September 2, 1945**. This date marks the formal surrender of Japan, the last remaining Axis power.  Here's a breakd...",What year did World War II end?,"World War II officially ended on **September 2, 1945**. This date marks the signing of the surrender documents by Japan aboard the USS Missouri in Tok...",consistent,
group_4,repetition,What year did World War II end?,"World War II officially ended on **September 2, 1945**. This date marks the signing of the surrender document by Japan aboard the USS Missouri in Toky...",What year did World War II end?,"World War II officially ended on **September 2, 1945**. This date marks the signing of the surrender documents by Japan aboard the USS Missouri in Tok...",consistent,
group_5,repetition,Define photosynthesis in one sentence.,"Photosynthesis is the process by which plants and some other organisms use sunlight to synthesize foods from carbon dioxide and water, releasing oxyge...",Define photosynthesis in one sentence.,"Photosynthesis is the process by which plants and other organisms use sunlight to convert carbon dioxide and water into glucose (a sugar) for food, re...",consistent,
group_5,repetition,Define photosynthesis in one sentence.,"Photosynthesis is the process by which plants and some other organisms use sunlight to synthesize foods from carbon dioxide and water, releasing oxyge...",Define photosynthesis in one sentence.,Photosynthesis is the process by which plants and some other organisms use sunlight to convert carbon dioxide and water into glucose (a sugar) for foo...,consistent,
group_5,repetition,Define photosynthesis in one sentence.,"Photosynthesis is the process by which plants and other organisms use sunlight to convert carbon dioxide and water into glucose (a sugar) for food, re...",Define photosynthesis in one sentence.,Photosynthesis is the process by which plants and some other organisms use sunlight to convert carbon dioxide and water into glucose (a sugar) for foo...,consistent,
group_6,perturbation,What is the capital of France?,The capital of France is **Paris**. 😊   It's a beautiful and iconic city! 🇫🇷,What is the captial of France?,The capital of France is **Paris**. 😊   It's a beautiful and historic city!,consistent,
group_7,perturbation,Defyne photosynthesys.,"Okay, let's delve into ""photosynthesis."" Here’s a breakdown of what it is, explained in a clear and comprehensive way:  **What is Photosynthesis?**  P...",Define photosynthesis.,"Okay, let's define photosynthesis!  **Photosynthesis is the process by which green plants and some other organisms (like algae and cyanobacteria) conv...",consistent,
